Date;SunshineTime;;;;;end date summary;2193;end date source;113913
2015-01-01;0;;;;;;;;
2015-01-02;0,90;;;;;;;;
2015-01-03;2,24;;;;;;;;
2015-01-04;6,01;;;;;;;;
2015-01-05;1,64;;;;;;;;
2015-01-06;0,00;;;;;;;;
2015-01-07;5,22;;;;;;;;
2015-01-08;0,00;;;;;;;;
2015-01-09;0,00;;;;;;;;
2015-01-10;0,11;;;;;;;;
2015-01-11;0,01;;;;;;;;
2015-01-12;0,00;;;;;;;;
2015-01-13;0,00;;;;;;;;
2015-01-14;0,09;;;;;;;;
2015-01-15;0,00;;;;;;;;
2015-01-16;2,07;;;;;;;;
2015-01-17;0,94;;;;;;;;
2015-01-18;0,05;;;;;;;;
2015-01-19;0,00;;;;;;;;
2015-01-20;0,00;;;;;;;;
2015-01-21;0,00;;;;;;;;
2015-01-22;0,00;;;;;;;;
2015-01-23;2,19;;;;;;;;
2015-01-24;0,00;;;;;;;;
2015-01-25;7,38;;;;;;;;
2015-01-26;0,00;;;;;;;;
2015-01-27;1,25;;;;;;;;
2015-01-28;0,00;;;;;;;;
2015-01-29;0,15;;;;;;;;
2015-01-30;1,68;;;;;;;;
2015-01-31;0,00;;;;;;;;
2015-02-01;0,00;;;;;;;;
2015-02-02;0,65;;;;;;;;
2015-02-03;0,00;;;;;;;;
2015-02-04;0,00;;;;;;;;
2015-02-05;0,00;;;;;;;;
2015-02-06;0,06;;;;;;;;
2015-02-07;3,12;;;;;;;;
2015-02-08;6,12;;;;;;;;
2015-02-09;8,51;;;;;;;;
2015-02-10;5,78;;;;;;;;
2015-02-11;0,00;;;;;;;;
2015-02-12;0,00;;;;;;;;
2015-02-13;0,00;;;;;;;;
2015-02-14;0,51;;;;;;;;
2015-02-15;0,06;;;;;;;;
2015-02-16;0,00;;;;;;;;
2015-02-17;0,00;;;;;;;;
2015-02-18;0,00;;;;;;;;
2015-02-19;0,00;;;;;;;;
2015-02-20;0,00;;;;;;;;
2015-02-21;0,00;;;;;;;;
2015-02-22;3,63;;;;;;;;
2015-02-23;0,00;;;;;;;;
2015-02-24;0,00;;;;;;;;
2015-02-25;0,14;;;;;;;;
2015-02-26;1,71;;;;;;;;
2015-02-27;0,00;;;;;;;;
2015-02-28;2,15;;;;;;;;
2015-03-01;0,00;;;;;;;;
2015-03-02;0,13;;;;;;;;
2015-03-03;7,20;;;;;;;;
2015-03-04;7,71;;;;;;;;
2015-03-05;8,37;;;;;;;;
2015-03-06;4,96;;;;;;;;
2015-03-07;0,00;;;;;;;;
2015-03-08;1,71;;;;;;;;
2015-03-09;10,27;;;;;;;;
2015-03-10;7,35;;;;;;;;
2015-03-11;11,05;;;;;;;;
2015-03-12;10,89;;;;;;;;
2015-03-13;11,32;;;;;;;;
2015-03-14;8,06;;;;;;;;
2015-03-15;8,85;;;;;;;;
2015-03-16;0,97;;;;;;;;
2015-03-17;8,99;;;;;;;;
2015-03-18;1,96;;;;;;;;
2015-03-19;10,27;;;;;;;;
2015-03-20;0,07;;;;;;;;
2015-03-21;2,90;;;;;;;;
2015-03-22;1,33;;;;;;;;
2015-03-23;0,00;;;;;;;;
2015-03-24;9,46;;;;;;;;
2015-03-25;0,00;;;;;;;;
2015-03-26;0,00;;;;;;;;
2015-03-27;3,84;;;;;;;;
2015-03-28;7,76;;;;;;;;
2015-03-29;0,00;;;;;;;;
2015-03-30;0,26;;;;;;;;
2015-03-31;2,04;;;;;;;;
2015-04-01;11,15;;;;;;;;
2015-04-02;6,80;;;;;;;;
2015-04-03;12,21;;;;;;;;
2015-04-04;11,87;;;;;;;;
2015-04-05;11,90;;;;;;;;
2015-04-06;11,94;;;;;;;;
2015-04-07;4,63;;;;;;;;
2015-04-08;10,99;;;;;;;;
2015-04-09;11,87;;;;;;;;
2015-04-10;0,00;;;;;;;;
2015-04-11;9,90;;;;;;;;
2015-04-12;4,01;;;;;;;;
2015-04-13;13,07;;;;;;;;
2015-04-14;0,00;;;;;;;;
2015-04-15;0,48;;;;;;;;
2015-04-16;13,16;;;;;;;;
2015-04-17;9,64;;;;;;;;
2015-04-18;11,42;;;;;;;;
2015-04-19;13,83;;;;;;;;
2015-04-20;13,73;;;;;;;;
2015-04-21;14,25;;;;;;;;
2015-04-22;14,32;;;;;;;;
2015-04-23;9,28;;;;;;;;
2015-04-24;7,15;;;;;;;;
2015-04-25;0,73;;;;;;;;
2015-04-26;7,74;;;;;;;;
2015-04-27;6,94;;;;;;;;
2015-04-28;13,60;;;;;;;;
2015-04-29;6,42;;;;;;;;
2015-04-30;3,54;;;;;;;;
2015-05-01;6,71;;;;;;;;
2015-05-02;12,76;;;;;;;;
2015-05-03;9,23;;;;;;;;
2015-05-04;0,90;;;;;;;;
2015-05-05;1,12;;;;;;;;
2015-05-06;7,85;;;;;;;;
2015-05-07;1,30;;;;;;;;
2015-05-08;10,38;;;;;;;;
2015-05-09;3,56;;;;;;;;
2015-05-10;5,64;;;;;;;;
2015-05-11;7,31;;;;;;;;
2015-05-12;0,00;;;;;;;;
2015-05-13;1,75;;;;;;;;
2015-05-14;15,55;;;;;;;;
2015-05-15;12,25;;;;;;;;
2015-05-16;0,00;;;;;;;;
2015-05-17;7,74;;;;;;;;
2015-05-18;7,44;;;;;;;;
2015-05-19;6,12;;;;;;;;
2015-05-20;8,05;;;;;;;;
